metric,condition_a,condition_b,n_a,n_b,mean_a,mean_b,std_a,std_b,mean_diff,t_stat,p_value,cohens_d,mann_whitney_p,significant_p05,p_fdr
perplexity,autistic,neurotypical,424,424,237.45723171054192,67.5468774269212,683.2303194648139,85.20155817238238,169.91035428362073,5.081416049443504,5.566721380609823e-07,0.3489930871047396,1.4379295583300748e-46,True,5.566721380609823e-07
mean_word_entropy,autistic,neurotypical,424,424,6.488232233164088,6.043666803596676,0.8050304662844517,0.7198392550011026,0.44456542956741174,8.476648306979957,1.041229733044746e-16,0.5821785959207334,3.1230038838951117e-16,True,1.5618445995671191e-16
mean_word_surprisal,autistic,neurotypical,424,424,7.021786605480852,5.818177482908921,1.3511573814093853,1.070061795163035,1.2036091225719305,14.379441998895636,6.849910488282102e-42,0.9875841311178843,4.803882810779458e-41,True,2.0549731464846306e-41
