doc_id,score,grade,ell,token_count,n_curves,alpha,intercept,r,p,benefit_at_1,benefit_total,benefit_short,benefit_long,ppl_drop_intact
007E0CBA8852,6,8.0,non_ELL,1191,3,-1.1423534951223813,2.2475502646693335,-0.8975267829504869,0.0010246917671167491,9.46452184035458,23.367562722323065,8.829444914891127,7.924472388346128,17.42532475525154
008015604AA0,5,11.0,non_ELL,594,3,-1.1961747673760197,1.8156962319520518,-0.8041630134550275,0.005042789754728925,6.145353279654498,12.69100972762037,-2.245435496527005,7.643949620946362,14.896920162626143
00B144412785,2,9.0,non_ELL,370,3,-0.7410945917051184,0.5042375129587022,-0.683174921675505,0.13466604089287917,1.6557225720259774,1.642842848127792,5.511188186551895,6.057512354184098,25.608784095863456
01612EE431CC,2,10.0,ELL,290,3,-0.9485494781341384,3.108147947831791,-0.8733066044358577,0.0046131204457668775,22.37955788630351,76.67876812122083,10.300510716259112,64.36657620156382,64.8754539836155
019328A0D7A3,6,,UNK,780,3,-1.457398506353109,2.784917158458526,-0.6668799989182861,0.049767316335341295,16.198475914464026,39.275977096888326,7.39536705361288,12.450494842634562,43.7152722462835
01E2760617E5,4,10.0,non_ELL,565,3,-1.1664393241825262,2.3905162917662395,-0.9508039025799063,0.001004008755527258,10.919129944891152,19.266527174764093,8.65185719320516,6.587598720640587,41.455780884613056
02F3A5CA96DF,4,,UNK,596,3,-2.447879271122308,3.875712154561879,-0.8195387770095339,0.04591090658223355,48.2170240406593,4.2440818370405715,4.560661293865962,-0.6047842644487051,12.826056273526788
0322EFDA120C,6,11.0,non_ELL,1024,3,-1.0854541605752634,1.7802209079840292,-0.8412928044096253,0.004473427558957373,5.931166515918312,17.9591855982908,5.778656395963484,6.387408661182487,21.037894929943278
037DF0312F1C,3,10.0,non_ELL,421,3,-0.9822618873477861,1.7465362063059935,-0.6769792554256374,0.09482468359788422,5.734704401199201,16.68401424427674,1.8450020866715526,10.322031912014678,20.43233127504015
03CD4C5553A4,6,8.0,non_ELL,810,3,-0.9743506768556915,1.2120711835371594,-0.6142150803487552,0.07844800482570839,3.360437532613323,19.825242183822812,1.296489207878043,13.350219735703275,15.367402125410644
