doc_id,score,grade,ell,token_count,alpha,r,p,n_curves
8B7B261CFE04,3,10.0,non_ELL,823,-1.0543584352730448,-0.8950920213402911,0.0004660829171056454,3
8C15FC3C3BCB,6,10.0,non_ELL,1047,-0.9866989314051461,-0.8147002599098336,0.04832276516413718,3
8CAF1B7BD82D,6,10.0,non_ELL,1115,-0.7638155069028779,-0.8561362620198699,0.003221117208834759,3
8DCB077AB04C,3,10.0,non_ELL,397,-0.7147218725614617,-0.7025505184410336,0.0348128761875807,3
8F88ABD06CED,6,11.0,non_ELL,868,-1.4854286026565504,-0.917073263132644,0.0004982230816987391,3
8FA202BD4570,3,8.0,non_ELL,391,-0.6392317206821241,-0.86292222789722,0.01239396880582204,3
8FD5B5C10AF2,3,8.0,non_ELL,258,-0.8770585351833065,-0.8064207945868295,0.008646657993446967,3
90214C874309,4,9.0,non_ELL,464,-0.7738918420959129,-0.849161230153501,0.007638488197381569,3
91893044CA95,2,8.0,non_ELL,214,-1.0758946295302731,-0.8072933210442976,0.008518773993514705,3
91BC3AC112A1,4,6.0,non_ELL,573,-0.7063415400837532,-0.7270475864605078,0.026460855516227396,3
94C41739F214,5,8.0,non_ELL,661,-0.8047356673839855,-0.7567769577781315,0.018244578810505317,3
951B691D3564,5,8.0,non_ELL,1126,-0.9634186461913096,-0.9514912824023235,2.2842811200106964e-05,3
9615F113FAA1,2,8.0,ELL,277,-0.12133183763434388,-0.09547084762306346,0.8069796081430385,3
97E88E7F5471,5,11.0,non_ELL,746,-0.8723990676973579,-0.8668154490775216,0.0011685281414244872,3
9A1B79DE1DBC,3,8.0,non_ELL,297,-1.0137251699867318,-0.8621870356202023,0.012555631087480063,3
9A2B81590B27,2,8.0,non_ELL,265,-0.9292562588748278,-0.8846725494736234,0.019183679453884866,3
9B0342796A1B,2,10.0,non_ELL,315,-1.0702779930584345,-0.9511238208617507,0.0009879379874452568,3
9B21F354EAE6,6,,UNK,723,-1.7554295937326236,-0.7091093422218384,0.04889187414621315,3
9B8E46362E43,3,8.0,non_ELL,315,-1.263941077022262,-0.8297397360520288,0.005652845669723268,3
9C2E6F09CC73,5,9.0,non_ELL,688,-0.9962532690485717,-0.7341246087967213,0.0381154213326649,3
9C61ACA70773,5,8.0,non_ELL,1142,-0.7976381586585928,-0.5729229200378113,0.13769234564030836,3
9C6C90C996C5,6,10.0,non_ELL,1420,-0.6699815912739957,-0.7935170103370539,0.010692323943501758,3
9E2CFFF4A4DF,6,11.0,non_ELL,937,-0.8378819967130794,-0.5931526111200691,0.12116634119508164,3
9E54D33AF6CD,6,11.0,non_ELL,720,-0.841944888074901,-0.6693314658426642,0.06945537993527096,3
9F1EEDC186E3,5,11.0,non_ELL,804,-1.5509942591276145,-0.9396262190097993,0.0016648753608556426,3
9F34AEA04404,2,6.0,non_ELL,229,-0.6906286446617573,-0.8574928992570605,0.006483924430526297,3
9F5A37599E7B,4,,UNK,463,-0.7712845528685516,-0.8293924745484159,0.0056912559189618,3
9FD63A312A5D,3,10.0,ELL,351,-0.32108962380301176,-0.5020320584087027,0.31021703543169177,3
A112011A5F17,2,6.0,non_ELL,273,-0.823325474580525,-0.8476649809480361,0.0039012139566206713,3
A1E09E155EF6,5,11.0,non_ELL,620,-1.6118894927401772,-0.8220765233048825,0.044668904622226016,3
A27D968DED18,5,10.0,non_ELL,1225,-0.9087578279573053,-0.6852368907196866,0.04164267027941084,3
A38F35A9F711,6,10.0,non_ELL,676,-1.2316866051532962,-0.8588906820257236,0.006301942931477164,3
A39803B6EBE9,3,8.0,non_ELL,380,-0.8417583285863833,-0.862962501379586,0.0057905456954160444,3
A4035C4D846D,4,8.0,non_ELL,456,-1.35108028955956,-0.9513584734865518,0.0034914542726438656,3
A4648DC5FA2A,2,8.0,non_ELL,471,-0.3227953046886908,-0.2735661969789348,0.5120804025453176,3
A5B3BCA07222,4,9.0,non_ELL,482,-0.15491433648589734,-0.09624715467364252,0.8054342089401395,3
A5FBF588B2F4,3,8.0,non_ELL,596,-0.6519200419961918,-0.6931327453548233,0.038429778155197165,3
A6103F6D2AA5,2,6.0,non_ELL,265,-0.7725611729937948,-0.8050833037789584,0.053286089608360586,3
A75EB2F907D9,3,11.0,non_ELL,701,-0.4068450561820928,-0.4888052264173865,0.21901402008522305,3
A7F68B21DDB0,6,11.0,non_ELL,1041,-1.1113546494099031,-0.8039073619699811,0.02933527628828687,3
A939BD5B34A0,4,10.0,non_ELL,515,-0.866114024789804,-0.6035372657859942,0.0646797202470134,3
A9C7F01DD5F9,3,10.0,non_ELL,358,-1.010074093160975,-0.8698362748508828,0.010932085211400917,3
AA0660FA9196,2,10.0,ELL,426,-0.8779731225505688,-0.7667076322598484,0.044325324223569905,3
AB5D77D7E5A1,4,8.0,non_ELL,471,-0.5387658684107077,-0.6034891301624127,0.08531270174410902,3
AC31C0D7AFCA,2,8.0,non_ELL,249,-1.2986367713155496,-0.650949358073889,0.2341567273887086,3
ACA7AD2E5716,3,10.0,non_ELL,361,-1.0933707782977675,-0.784780277330732,0.0366148675904314,3
AD1914496798,4,9.0,non_ELL,591,-0.994287207769883,-0.8935359292511895,0.006702413316548617,3
ADDF7CABF5A5,4,8.0,non_ELL,344,-1.4405665685784743,-0.942687025275002,0.0014642656130619365,3
AEFDD857A5D9,4,8.0,non_ELL,684,-0.7487417101036954,-0.7607775412019327,0.028378406519094627,3
AFCF10293B9A,2,10.0,non_ELL,348,-1.2955552488928044,-0.9274287096917861,0.0003156219411672252,3
B06F15F11C93,4,8.0,non_ELL,506,-1.0641559783706902,-0.753972441672504,0.05024980256407987,3
B09064197CEF,6,11.0,non_ELL,1026,-0.9862744040381994,-0.951231260509574,8.040050771707102e-05,3
B127CFD81E92,5,8.0,non_ELL,1223,-1.0637387500393698,-0.9244033041170918,0.0003630261420383289,3
B154F5F9DADF,2,10.0,non_ELL,204,-0.3146406960002815,-0.4245211161943148,0.2547510102334964,3
B165E46F2D0C,3,9.0,non_ELL,643,-1.0908972043802736,-0.8239738721751119,0.022654990254245794,3
B18FB042DEDD,6,,UNK,923,-1.257982493115555,-0.8374590969036715,0.00249749420891227,3
B1931B07D749,2,6.0,non_ELL,385,-1.017138988347321,-0.9092879447023905,0.0006767494130948961,3
B2305853B773,4,8.0,non_ELL,884,-0.5132821272716007,-0.35989951866344927,0.38119526327811964,3
