age_group,n,L50,L80,L90,tail_33_128,tail_65_128,mean_lag
5yr,86,9.421416100892893,30.777946483802776,53.022622828161296,0.180982722536041,0.06950301502501359,19.390910455182667
6yr,84,9.665732825927234,31.293288273956005,54.870111503593286,0.1843880312016343,0.07106068927994824,19.715630797916635
7yr,85,10.015935496647783,32.61376696979666,54.28224833076348,0.1902989784415832,0.0722693656808069,20.053010988605394
8yr,45,10.493469908015753,31.894738418842387,56.412926938931385,0.19223351463064328,0.07776639109903959,20.6391051629504
9yr,17,9.924411552117244,29.739312599217072,51.379781187374476,0.1797997741336936,0.06824780632948321,19.53513369306617
10+yr,24,10.38111488232783,31.493682741930815,55.738042701214646,0.18786040796246883,0.07130001224997178,20.344433847173267
