bin_center,bin_label,5yr_mean,6yr_mean,7yr_mean,8yr_mean,9yr_mean,10+yr_mean
1.5,lag 1-2,0.10704267316157418,0.1105565294725915,0.10702323736956842,0.10152251990417975,0.10347406971787038,0.1008928939175426
3.5,lag 3-4,0.1587572152786174,0.15279006232877881,0.14763513359228755,0.14040690692046073,0.163274538770416,0.1501618748252301
6.5,lag 5-8,0.21355106377192246,0.20755204955384698,0.20622434695484068,0.2113542034376321,0.19008937615496097,0.20402717885331756
10.5,lag 9-12,0.11595718259441176,0.12231157224264982,0.11999295565013726,0.11627574619582363,0.12474942860904413,0.11906272104336678
14.5,lag 13-16,0.07488800974068544,0.07516112711093077,0.08003615721703802,0.08014830262271061,0.08915588544344605,0.07500015883856269
20.5,lag 17-24,0.08792466809431003,0.09085423769217156,0.0914740846570489,0.10135009002673293,0.09416967227525634,0.0966860697609516
28.5,lag 25-32,0.06089646482243775,0.05638639039739615,0.05731510611749594,0.0567087162618169,0.05528725489531246,0.06630869479855989
40.5,lag 33-48,0.07180229641748982,0.06911265057001081,0.07245537369298018,0.06821811808289231,0.07294068702209311,0.0720818496120821
56.5,lag 49-64,0.039677411093537486,0.04421469135167523,0.04557423906779613,0.04624900544871139,0.03861128078211732,0.04447854610041499
80.5,lag 65-96,0.0476147858254275,0.04591279189574618,0.047923295156469266,0.04937336513808218,0.04216959463592779,0.04130549894360904
112.5,lag 97-128,0.021888229199586107,0.025147897384202058,0.024346070524337637,0.0283930259609574,0.02607821169355542,0.029994513306362738
