doc_id,age_months,age_group,token_count,baseline_nll,tail_share_lag33_128,tail_share_lag49_128,tail_share_lag65_128,gini,top1_share,top3_share,effective_support,n_positive_bins
ECSC_4051_1_120M_4051_YR1,120,10+yr,764,2.8783019959926603,0.20491165057130223,0.1432324735903339,0.11698443811216874,0.29760746915077685,0.15856758934090612,0.4315194126172332,9.295194663578194,11
ECSC_4040_1_122F_4040_YR1,122,10+yr,659,2.6367275953292846,0.17244180863607028,0.1241072289231658,0.11326141214378657,0.34824447112509427,0.19203615874303798,0.5336178267156175,8.943635416809567,11
ECSC_4041_1_122F_4041_YR1,122,10+yr,592,2.140789595246315,0.20869440729177213,0.1435739957491061,0.055620824308412274,0.2431679809988334,0.14218348125216457,0.4170459266865695,9.90196465732287,11
ECSC_4058_1_122M_4058_YR1,122,10+yr,292,2.1790322601795196,0.12833256165978413,0.06575143708326703,0.027305907854540706,0.3769211900930227,0.2129893604569673,0.51281550738545,8.568842601222961,11
ECSC_4061_1_122M_4061_YR1,122,10+yr,533,2.173400043696165,0.15895828964255831,0.06914469135126664,0.04784098257952658,0.31140389507770805,0.1582493606050378,0.4524513893152364,9.199961958415985,11
ECSC_4077_1_123F_4077_YR1,123,10+yr,312,2.011741405725479,0.18739832244932222,0.13235812585229675,0.05922407086899729,0.30622593130086173,0.18926726646635775,0.4656121635735876,9.384127539445211,11
ECSC_4052_1_124M_4052_YR1,124,10+yr,369,3.026408702135086,0.18151212080678666,0.11407419299489416,0.03839511223953864,0.3326453230187103,0.21597736379884366,0.5083381073335541,9.020076795751425,11
ECSC_4065_1_125F_4065_YR1,125,10+yr,395,2.0037419319152834,0.14679573453183212,0.06699968279727062,0.03208804078606353,0.4155294464112764,0.28106980631922607,0.5612929176355813,8.189336399931648,11
ECSC_4043_1_126F_4043_YR1,126,10+yr,482,2.010348790884018,0.1637156061676636,0.10695983154475643,0.04900751870290111,0.3601850165907359,0.24911429124254936,0.5184117044353561,8.852633696443807,11
ECSC_4067_1_128F_4067_YR1,128,10+yr,377,2.52172891497612,0.20949773140745584,0.15490792017312238,0.1008922449259077,0.3566423790501696,0.22506198600399246,0.5517826244771613,8.88345611359807,11
ECSC_4073_1_129F_4073_YR1,129,10+yr,496,2.412418282032013,0.20735416651607824,0.1142714238445523,0.06601630912284041,0.3331178381034954,0.175544443779075,0.49340438717181523,9.143373899222038,11
ECSC_4053_1_129M_4053_YR1,129,10+yr,578,2.490585136413574,0.20185381922445522,0.1691909528356848,0.11387203877290757,0.3003942798287085,0.17737429828459123,0.48512480109876643,9.525514594737208,11
ECSC_1059_1_132F_1059_YR1,132,10+yr,274,2.3697845339775085,0.14270106847876315,0.068912411835868,0.033798014361946675,0.4342842091571346,0.24314830649942695,0.5965729960460407,7.983470316747463,11
ECSC_4046_1_132F_4046_YR1,132,10+yr,654,2.127518376708031,0.28963347251738075,0.1915359210962574,0.164083044797201,0.21483349441136457,0.14377305625504422,0.3846263063591315,10.124284566906846,11
ECSC_4063_1_132F_4063_YR1,132,10+yr,481,1.658692928403616,0.17300608475216492,0.12683857794614697,0.07610658094940397,0.3242316238427112,0.19563690547710277,0.5064546576704457,9.285714789901292,11
ECSC_4087_1_132M_4087_YR1,132,10+yr,384,2.600867065787315,0.09693406699579032,0.060146994635491044,0.03717327218279032,0.4315576271609458,0.24698525534080096,0.5758437480764941,8.094379477729186,11
ECSC_4032_1_134M_4032_YR1,134,10+yr,401,2.6184587731957434,0.23246729913245778,0.16049756924338998,0.09208306293560733,0.2980460075398055,0.22963387916193648,0.4987825465019562,9.410128556065034,11
ECSC_4072_1_135F_4072_YR1,135,10+yr,491,3.061508658528328,0.34801900134352415,0.17849003603925387,0.10407796955467907,0.3034210288498611,0.2120014518004023,0.5174760979783133,9.423580147262482,11
ECSC_2025_1_135M_2025_YR1,135,10+yr,849,3.056775164604187,0.26923989913569946,0.20029750765697285,0.13210926582621507,0.16729331793983682,0.14291100868919845,0.4096436779001078,10.48039862826091,11
ECSC_4038_1_135M_4038_YR1,135,10+yr,184,2.5639073133468626,0.1298828503677792,0.02474388862273345,-0.0009607992705448304,0.494679319817128,0.2704321473078295,0.6085712183582015,7.129507970955135,10
ECSC_4028_1_136F_4028_YR1,136,10+yr,733,2.4844808131456375,0.15616056916247886,0.08142250133101307,0.058793247623798006,0.4114130562845011,0.2638284298792977,0.5511302189349749,8.244896659280593,11
ECSC_4078_1_136F_4078_YR1,136,10+yr,337,2.3957349807024,0.09198150356612166,0.06772644039079392,0.06997417070970786,0.44455194423628197,0.26470443079094697,0.5891698683471572,7.837310977311465,10
ECSC_4064_1_138F_4064_YR1,138,10+yr,497,2.417106592655182,0.23585890298143664,0.14551444482685263,0.09129449344451042,0.22745807724988598,0.1857747750159021,0.4178419100021091,10.087471010714681,11
ECSC_4088_1_138F_4088_YR1,138,10+yr,352,2.6086267948150637,0.17129885376057477,0.06798715004479239,0.0321590704664166,0.3119550313411483,0.16302908342256567,0.4500211109626891,9.167519464740499,11
ECSC_4035_1_59F_4035_YR1,59,5yr,219,3.183713659644127,0.3390440358692352,0.2301052853237216,0.12153479543305727,0.28137692568631256,0.1544829441396556,0.45983940826484504,9.661602393072389,11
ECSC_4004_1_61F_4004_YR1,61,5yr,190,2.8946686327457427,0.31368970765898874,0.19632716436282166,0.09834129434265233,0.28077515122821706,0.17074111117563154,0.4578398755402093,9.614481502640894,11
ECSC_3007_1_61M_3007_YR1,61,5yr,135,2.571771812438965,0.01795015885226087,-0.02078382534823005,-0.009835155458572517,0.4288122680473134,0.22534208158287114,0.5198983978861508,7.353954435031377,8
ECSC_1013_1_62F_1013_YR1,62,5yr,238,2.628616464138031,0.1335781265641878,0.0937483589083567,0.06941110955302608,0.4689815138155018,0.33855150088138464,0.615804218448495,7.506672582432969,11
ECSC_1013_2_62F_1013_YR2,62,5yr,347,2.4619534492492674,0.12408134305347886,0.07203325347454738,0.03622652519139293,0.3984561503533428,0.20391246287256679,0.5402650085342112,8.395937452117455,11
ECSC_1013_3_62F_1013_YR3,62,5yr,178,2.6239634275436403,0.08152027906595864,0.022139480937089104,0.014579926765846544,0.43221879475917624,0.23998105325569688,0.5423558222039976,7.846556844305146,11
ECSC_3004_1_62F_3004_YR1,62,5yr,428,2.937181520462036,0.17401176124672993,0.10387995840034178,0.05982421463329149,0.4451611690192898,0.30406390763506763,0.5848064097228849,7.711361765946341,11
ECSC_1037_1_63M_1037_YR1,63,5yr,240,2.6157855331897735,0.14886750548532965,0.10678130845349718,0.07801439981421364,0.38290360989468564,0.24950099961765243,0.5378959284479332,8.639888342601369,11
ECSC_1037_2_63M_1037_YR2,63,5yr,345,2.649327827990055,0.14935644591774308,0.07332387417218796,0.05419977534221191,0.3792065871673347,0.22076949376748473,0.5121322128352376,8.596344551355104,11
ECSC_1037_3_63M_1037_YR3,63,5yr,328,2.422038316726685,0.1778642420055362,0.07425768038434798,0.027246213861442138,0.4157570564432096,0.3028917500400674,0.5686188702632203,8.082984222210538,11
ECSC_2017_1_63M_2017_YR1,63,5yr,280,2.6159124612808227,0.172858823163342,0.08321297107237165,0.023799530430527537,0.3421453373960057,0.22861508885067738,0.49299668958892884,8.780053923808032,10
ECSC_4071_1_63M_4071_YR1,63,5yr,249,3.25033700466156,0.23692275139991317,0.17081817730704552,0.0878949032137733,0.2979512297429747,0.22592185211954244,0.48711417252632616,9.357659864681946,11
ECSC_1017_1_64F_1017_YR1,64,5yr,384,2.584545946121216,0.1918843382376067,0.1015605456258142,0.056307121540999226,0.39748570755239654,0.30159040981818774,0.5578513173046281,8.356868867821566,11
ECSC_1017_2_64F_1017_YR2,64,5yr,183,2.5361335277557373,0.1003010696456167,0.0501352858491804,-0.010956089387505905,0.3753930350387622,0.2036675106907593,0.5053953301919245,8.399635207317408,10
ECSC_1017_3_64F_1017_YR3,64,5yr,390,1.990817552804947,0.17187979176471282,0.09297302025119798,0.06836960196062222,0.40154499262900245,0.253549358022385,0.5554318352286343,8.4682338999047,11
